station_id;station_name;region_id;region_name;lat;lon;station_elevation;data;dd;ff;t;td;p;p0;rrr;ww;w1;w2;u;tmin;tmax;rrr24;ff_max;dd_max;tsoil;ew;tsea;ss
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 00:00;330;7;21.7;11.4;1003.6;899;0;;;;52;;;;;;;13.33011;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 03:00;300;7;21.7;11.4;1005;900.2;;;;;52;20.8;;;;;;13.32426;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 06:00;320;8;27.5;9.3;1005.6;900.7;0;;;;32;;;0;;;18;11.6145;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 09:00;110;2;33.5;5.9;1003.5;898.8;;;;;18;;;;;;;9.29548;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 12:00;340;5;36.4;3.6;1001.2;896.6;0;;;;13;;;;;;;7.850724;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 15:00;320;5;35.9;2.1;1000.6;896;;;;;12;;37;;;;;7.013432;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 18:00;320;8;27.6;8;1002.3;897.2;0;;;;29;;;;;;;10.61191;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/21/2018 21:00;300;8;23.7;9.7;1002;897.4;;;;;41;;;;11;310;;11.90386;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 00:00;300;5;22.4;9.2;1002.4;898;0;;;;43;;;;;;;11.55119;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 03:00;300;6;22;8.5;1003.6;898.9;;;;;42;20;;;;;;10.93593;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 06:00;320;5;29.4;8.5;1003.2;898.4;0;;;;27;;;0;;;19;11.05115;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 09:00;90;3;34.3;4;1001.4;896.8;;;;;15;;;;;;;8.148205;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 12:00;130;3;36.5;2.5;998.6;894.4;0;;;;12;;;;;;;7.407332;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 15:00;20;4;36.4;3.6;997.2;893.1;;;;;13;;37.8;;;;;7.90162;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 18:00;10;3;29.4;6.1;998;894;0;;;;23;;;;;;;9.354795;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/22/2018 21:00;310;9;24.7;8.6;998.3;894.3;;;;;36;;;;10;320;;11.20938;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 00:00;320;5;22.2;8.3;999.3;895.2;0;;;;41;;;;;;;10.99326;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 03:00;280;6;22.2;6.8;1001;896.6;;;;;37;21.3;;;;;;9.925462;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 06:00;320;6;30.6;8.3;1000.9;896.8;0;;;;25;;;0;;;19;10.99837;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 09:00;120;5;35.4;2.8;998.9;894.9;;;;;13;;;;;;;7.585827;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 12:00;130;4;38.4;1.4;996.2;892.5;0;;;;10;;;;;;;6.890635;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 15:00;360;2;36.6;-1.4;996.4;892.4;;;;;9;;38.8;;;;;6.765549;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 18:00;260;3;29.6;2.8;996.4;892.7;0;;;;18;;;;;;;7.541458;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/23/2018 21:00;320;6;25.6;8.6;998;894.4;;;;;34;;;;8;330;;11.12339;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 00:00;320;4;23.4;9.400001;999.2;895.6;0;;;;41;;;;;;;11.76127;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 03:00;310;6;23.8;9.8;1001.7;897.6;;;;;41;22.4;;;;;;12.01643;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 06:00;320;4;31.4;8.400001;1002.2;898.1;0;;;;24;;;0;;;22;11.01231;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 09:00;120;5;36.2;2.3;1001.1;;;;;;12;;;;;;;7.180968;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 12:00;120;5;38.7;1.7;999.5;895.7;0;;;;10;;;;;;;6.829401;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 15:00;20;3;38.2;1.3;999;895.2;;;;;10;;39.4;;;;;6.583607;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 18:00;20;2;29.7;5.7;999.9;896;0;;;;55;;;;;;;9.119248;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/24/2018 21:00;320;5;26.4;11;1000.1;896.6;;;;;38;;;;7;310;;13.02156;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 00:00;320;5;24.2;11.5;1002.3;;0;;;;45;;;;;;;13.4278;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 03:00;290;6;24.7;12.6;1003.4;899.7;;;;;47;23;;;;;;14.6143;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 06:00;360;3;32.5;9.900001;1004.2;900.2;0;;;;25;;;0;;;21;12.25204;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 09:00;90;4;37.5;4.4;1002.3;898.6;;;;;13;;;;;;;8.263082;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 12:00;100;5;40;2.6;1000;896.5;0;;;;10;;;;;;;7.338649;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 15:00;90;2;39.3;0.6;999.1;;;;;;9;;41;;;;;6.401665;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 18:00;90;2;32;3.9;1000.1;896.7;0;;;;17;;;;;;;8.038136;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/25/2018 21:00;30;3;29.4;1.8;1001.5;898.3;;;;;17;;;;7;320;;6.888268;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 00:00;320;4;23.7;10.7;1002.8;899.2;0;;;;44;;;;;;;12.82719;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 03:00;320;2;24;11;1004.6;900.8;;;;;44;22;;;;;;13.17075;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 06:00;130;10;32;1.2;1004.8;900.8;0;;;;14;;;0;;;21;6.655223;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 09:00;150;7;35.6;0.6;1002.7;899;;;;;11;;;;;;;6.395543;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 12:00;90;5;37.9;-0.4;1000.8;896.8;0;;;;9;;;;;;;5.967256;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 15:00;110;5;36.9;0.3;999.6;895.6;;;;;10;;38.2;;;;;6.303695;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 18:00;90;3;30.4;-0.1;1000.1;896.3;0;;;;14;;;;;;;6.013289;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/26/2018 21:00;330;2;26.5;1;1000.5;896.6;;;;;19;;;;10;130;;6.496692;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 00:00;0;0;24;-0.3;1007.7;896.9;0;;;;20;;;;;;;5.91065;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 03:00;280;2;25.5;1.6;1001.3;897.4;;;;;21;20.8;;;;;;6.859416;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 06:00;120;8;32.2;2.3;1001.7;897.8;0;;;;15;;;0;;;19;7.306766;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 09:00;100;6;36.3;-0.1;1000.4;896.6;;;;;10;;;;;;;6.125505;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 12:00;90;4;38.1;1.2;998;894.4;0;;;;10;;;;;;;6.667852;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 15:00;110;5;36.9;0.3;999.6;;;;;;10;;38.2;;;;;6.303695;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 18:00;0;0;29.9;2.2;998.7;895;0;;;;17;;;;;;;7.116921;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/27/2018 21:00;330;4;24.2;-0.3;1000.8;;0;;;;30;;;;10;120;;9.016402;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/28/2018 00:00;330;4;24.2;-0.3;1000.8;897;0;;;;30;;;;;;;9.016402;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/28/2018 03:00;330;3;24.9;10;1002.1;898.2;;;;;39;22.1;;;;;;12.16094;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/28/2018 06:00;120;5;32;2.2;1002.6;898.5;0;;;;15;;;0;;;21;7.061755;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/28/2018 09:00;120;6;35.4;1.7;1001.2;897.6;;;;;12;;;;;;;6.952701;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;06/28/2018 12:00;130;3;36.8;1.5;1000.1;896.1;0;;;;11;;;;;;;6.766081;;
