station_id;station_name;region_id;region_name;lat;lon;station_elevation;data;dd;ff;t;td;p;p0;rrr;ww;w1;w2;u;tmin;tmax;rrr24;ff_max;dd_max;tsoil;ew;tsea;ss
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 00:00;260;4;7.1;-2.6;1009.6;898.8;0;;;;50;;;;;;;5.00842;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 03:00;310;5;9.2;-3.4;1009.9;898.8;;;;;41;6;;;;;;4.78296;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 06:00;360;7;16;-0.7;1010.6;900;0;;;;32;;;0;;;5;5.84487;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 09:00;100;5;19.2;-5;1009.4;898.3;;;;;19;;;;;;;4.30099;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 12:00;290;9;17.8;-0.5;1008.8;897.6;0.01;25;2;1;29;;;;;;;5.91307;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 15:00;310;2;15.8;1.2;1008;;;;;;37;;20.6;;;;;6.59889;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 18:00;320;4;11.9;5.3;1010;;0;;;;64;;;;;;;8.94251;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/21/2020 21:00;320;6;9.1;4.3;1009;898.5;;;;;72;;;;9;330;;8.36421;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 00:00;310;6;8.8;4;1009.4;899;0.01;80;2;2;72;;;;;;;8.16031;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 03:00;300;5;7.7;3.2;1009.8;898.4;;1;8;2;74;7.5;;;;;;7.71765;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 06:00;320;6;10.6;3.4;1009.1;897.6;0;;;;62;;;0.01;;;6;7.8534;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 09:00;320;4;13.7;5.1;1007.7;896.4;;;;;56;;;;;;;8.70634;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 12:00;330;10;11.9;4.6;1005.2;893.8;0;;;;61;;;;;;;8.5163;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 15:00;320;10;7.7;4.7;1004.9;892.5;;80;8;2;81;;14.6;;;;;8.54286;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 18:00;290;6;6.2;4.5;1006.4;894.1;4;62;8;6;89;;;;;;;8.3931;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/22/2020 21:00;310;6;4.7;3.2;1005.7;;;60;6;6;89;;;;10;320;;7.6289;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/23/2020 00:00;340;8;4.1;2.8;1005.6;;20;62;6;6;91;;;;;;;7.41926;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/23/2020 03:00;300;5;4.7;3.2;1006.3;;;1;6;6;89;3;;;;;;7.62923;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/23/2020 06:00;320;9;8.2;2.2;1009.1;;3;1;6;2;65;;;27;;;2;7.09418;;
40777;Imam Khomeini Airport;OIII;Tehran;35.41666667;51.16666667;990.2;03/23/2020 09:00;290;7;12.7;2.3;1009.8;897.2;;;;;49;;;;;;;7.20665;;
